Arbitro;Partite;Media Totale;Media Home;Media Away
Luca Zufferli;15;24,8;11,33;13,47
Giuseppe Collu;12;22,25;10,25;12
Federico La Penna;14;28,14;13,86;14,29
Gianluca Manganiello;9;24,89;14,33;10,56
Simone Sozza;15;25,6;12,33;13,27
Giovanni Ayroldi;9;30,22;13,33;16,89
Andrea Colombo;14;28,36;12,57;15,79
Alberto Arena;10;21,6;11,4;10,2
Marco Guida;15;24,8;12,07;12,73
Daniele Doveri;18;24,11;11,56;12,56
Davide Massa;16;28,44;14,06;14,38
Daniele Chiffi;14;22,71;11,79;10,93
Marco Piccinini;6;27;11,5;15,5
Livio Marinelli;8;27,38;14,63;12,75
Francesco Fourneau;11;26,36;13;13,36
Matteo Marcenaro;12;25,08;11,58;13,5
Ermanno Feliciani;13;24,15;12,77;11,38
Kevin Bonacina;11;26,09;13,45;12,64
Valerio Crezzini;9;26,33;12,56;13,78
Maurizio Mariani;15;24,13;12,33;11,8
Rosario Abisso;10;25;13,7;11,3
Marco Di Bello;12;26,08;13,17;12,92
Matteo Marchetti;13;23,92;12,15;11,77
Paride Tremolada;2;25;12,5;12,5
Michael Fabbri;15;24,87;12,33;12,53
Antonio Rapuano;7;25,71;11,71;14
Federico Dionisi;1;28;16;12
Daniele Perenzoni;1;27;5;22
Benito Carbone;1;24;16;8
Juan Luca Sacchi;11;27,09;13;14,09
Luca Pairetto;10;26,8;13,1;13,7
Ivano Pezzuto;2;30;17,5;12,5
Davide Di marco;3;22,33;11,33;11
Fabio Maresca;10;25,3;12,5;12,8
Giuseppe Mucera;3;27;10,33;16,67
Luca Massimi;1;22;14;8
Maria Ferrieri Caputi;1;28;14;14
Andrea Calzavara;2;30,5;12,5;18
