Arbitro,Partite,Media Totale,Media Home,Media Away
Luca Zufferli,17,"24,76","11,06","13,71"
Giuseppe Collu,12,"22,25","10,25",12
Federico La Penna,15,"27,6","13,4","14,2"
Gianluca Manganiello,10,"24,3","13,9","10,4"
Simone Sozza,16,"25,69","12,06","13,63"
Giovanni Ayroldi,10,"29,4",13,"16,4"
Andrea Colombo,15,"28,13","12,2","15,93"
Alberto Arena,11,"21,55","11,09","10,45"
Marco Guida,15,"24,8","12,07","12,73"
Daniele Doveri,18,"24,11","11,56","12,56"
Davide Massa,17,"28,35","14,12","14,24"
Daniele Chiffi,15,"22,67","11,93","10,73"
Marco Piccinini,7,"26,29","11,29",15
Livio Marinelli,8,"27,38","14,63","12,75"
Francesco Fourneau,12,"25,92",13,"12,92"
Matteo Marcenaro,12,"25,08","11,58","13,5"
Ermanno Feliciani,13,"24,15","12,77","11,38"
Kevin Bonacina,11,"26,09","13,45","12,64"
Valerio Crezzini,9,"26,33","12,56","13,78"
Maurizio Mariani,15,"24,13","12,33","11,8"
Rosario Abisso ,11,"24,36","13,36",11
Marco Di Bello,13,"26,46","13,46",13
Matteo Marchetti,13,"23,92","12,15","11,77"
Paride Tremolada ,2,25,"12,5","12,5"
Michael Fabbri ,15,"24,87","12,33","12,53"
Antonio Rapuano,7,"25,71","11,71",14
Federico Dionisi ,2,"25,5",13,"12,5"
Daniele Perenzoni,2,25,11,14
Benito Carbone,1,24,16,8
Juan Luca Sacchi,11,"27,09",13,"14,09"
Luca Pairetto,10,"26,8","13,1","13,7"
Ivano Pezzuto ,2,30,"17,5","12,5"
Davide Di marco ,3,"22,33","11,33",11
Fabio Maresca,11,"25,91","12,73","13,18"
Giuseppe Mucera,3,27,"10,33","16,67"
Luca Massimi ,2,"24,5","13,5",11
Maria Ferrieri Caputi ,1,28,14,14
Andrea Calzavara,3,"27,33","11,33",16
Simone Galipo',1,22,13,9
