Stagione 2025/26      Squadra;;;Falli Subiti;Falli Commessi
2025/26;Alavés;Casa;"14,3";"15,5"
2025/26;Alavés;Fuori;"12,5";"14,9"
2025/26;Athletic Bilbao;Casa;"11,3";"13,8"
2025/26;Athletic Bilbao;Fuori;"12,2";13
2025/26;Atlético Madrid;Casa;9;"10,5"
2025/26;Atlético Madrid;Fuori;"9,3";"12,6"
2025/26;Barcelona;Casa;"11,2";"8,8"
2025/26;Barcelona;Fuori;"12,2";"9,6"
2025/26;Celta Vigo;Casa;"11,8";"10,4"
2025/26;Celta Vigo;Fuori;"11,5";"13,1"
2025/26;Elche;Casa;"13,1";"12,8"
2025/26;Elche;Fuori;"14,5";"12,5"
2025/26;Espanyol;Casa;"11,8";"13,6"
2025/26;Espanyol;Fuori;"12,1";"12,7"
2025/26;Getafe;Casa;15;"15,5"
2025/26;Getafe;Fuori;14;"14,3"
2025/26;Girona;Casa;"13,5";"10,1"
2025/26;Girona;Fuori;"13,4";"12,4"
2025/26;Levante;Casa;"11,5";12
2025/26;Levante;Fuori;"12,1";"12,3"
2025/26;Mallorca;Casa;"11,5";"11,8"
2025/26;Mallorca;Fuori;"11,7";"11,2"
2025/26;Osasuna;Casa;"10,7";"13,8"
2025/26;Osasuna;Fuori;"10,8";"12,9"
2025/26;Real Oviedo;Casa;"10,4";"11,5"
2025/26;Real Oviedo;Fuori;"10,2";"14,2"
2025/26;Real Betis;Casa;"12,9";"10,5"
2025/26;Real Betis;Fuori;"12,8";"10,2"
2025/26;Real Madrid;Casa;"12,5";"10,4"
2025/26;Real Madrid;Fuori;14;"9,7"
2025/26;Real Sociedad;Casa;"11,4";"14,8"
2025/26;Real Sociedad;Fuori;"11,1";"14,8"
2025/26;Sevilla;Casa;"13,9";"16,2"
2025/26;Sevilla;Fuori;"12,3";"13,6"
2025/26;Valencia;Casa;"11,3";"12,6"
2025/26;Valencia;Fuori;11;"11,7"
2025/26;Villarreal;Casa;"10,3";"12,8"
2025/26;Villarreal;Fuori;"11,9";"12,3"
2025/26;Rayo Vallecano;Casa;10;"12,5"
2025/26;Rayo Vallecano;Fuori;"9,7";"14,8"
